Word,Frequency,Rank
the,125749,1
and,78846,2
of,70080,3
to,46443,4
a,32489,5
in,31941,6
I,29128,7
that,27057,8
he,21967,9
his,20594,10
it,19444,11
was,18557,12
for,16853,13
not,16844,14
with,16828,15
And,16533,16
is,15929,17
be,15844,18
you,14410,19
as,13336,20
all,12964,21
him,12938,22
they,11483,23
shall,11458,24
her,11158,25
them,10222,26
had,10182,27
have,9900,28
my,9582,29
said,9410,30
me,9385,31
but,9254,32
unto,8953,33
from,8647,34
at,8644,35
which,8435,36
on,8179,37
by,8011,38
this,7705,39
The,7560,40
their,7503,41
she,7408,42
will,7133,43
were,6825,44
are,6641,45
LORD,6549,46
so,6340,47
thou,5925,48
or,5901,49
one,5682,50
out,5651,51
thy,5296,52
when,5288,53
there,5080,54
man,5059,55
up,4955,56
no,4910,57
your,4837,58
God,4803,59
thee,4737,60
an,4721,61
But,4685,62
upon,4467,63
ye,4310,64
do,4223,65
we,4141,66
what,4056,67
into,4031,68
more,3979,69
if,3960,70
would,3923,71
very,3862,72
who,3589,73
He,3578,74
could,3526,75
been,3409,76
now,3395,77
like,3355,78
before,3335,79
any,3329,80
came,3313,81
day,3228,82
come,3220,83
know,2984,84
then,2910,85
did,2903,86
1,2892,87
than,2871,88
house,2850,89
little,2827,90
2,2809,91
us,2789,92
great,2770,93
people,2754,94
down,2747,95
see,2740,96
made,2728,97
am,2712,98
every,2710,99
good,2702,100
For,2649,101
say,2639,102
3,2636,103
time,2632,104
men,2599,105
Israel,2581,106
some,2562,107
about,2530,108
4,2519,109
go,2517,110
our,2509,111
over,2495,112
should,2492,113
hath,2462,114
may,2430,115
It,2420,116
after,2419,117
hand,2413,118
these,2400,119
only,2372,120
7,2368,121
other,2368,122
son,2363,123
Mr,2351,124
such,2347,125
5,2331,126
king,2330,127
6,2316,128
went,2303,129
even,2292,130
must,2280,131
much,2269,132
two,2268,133
against,2255,134
9,2222,135
own,2219,136
8,2207,137
children,2196,138
Then,2171,139
make,2165,140
10,2133,141
11,2112,142
also,2074,143
again,2028,144
land,2019,145
away,1987,146
12,1979,147
thing,1960,148
things,1960,149
well,1959,150
O,1945,151
might,1936,152
13,1916,153
way,1913,154
old,1911,155
can,1875,156
14,1874,157
yet,1867,158
how,1856,159
let,1854,160
Mrs,1853,161
first,1846,162
15,1803,163
never,1765,164
16,1699,165
himself,1697,166
long,1690,167
saying,1685,168
give,1669,169
shalt,1665,170
think,1652,171
has,1635,172
because,1619,173
You,1618,174
,1617,175
ever,1616,176
being,1614,177
saw,1609,178
18,1607,179
She,1605,180
Lord,1600,181
In,1586,182
heard,1585,183
What,1572,184
To,1564,185
those,1557,186
off,1552,187
take,1551,188
They,1546,189
place,1545,190
its,1541,191
without,1530,192
put,1528,193
19,1523,194
many,1519,195
17,1513,196
earth,1504,197
though,1498,198
through,1482,199
20,1475,200
heart,1470,201
nor,1465,202
A,1455,203
most,1454,204
too,1454,205
So,1453,206
21,1451,207
head,1447,208
name,1444,209
where,1444,210
22,1435,211
eyes,1418,212
father,1403,213
here,1386,214
life,1366,215
whom,1345,216
thought,1339,217
nothing,1337,218
among,1336,219
done,1317,220
days,1310,221
last,1305,222
That,1286,223
sea,1285,224
23,1283,225
word,1283,226
still,1278,227
If,1269,228
Now,1267,229
saith,1267,230
same,1265,231
face,1264,232
found,1252,233
voice,1247,234
took,1236,235
brought,1225,236
sons,1215,237
just,1206,238
24,1189,239
world,1189,240
This,1186,241
As,1185,242
three,1180,243
another,1178,244
hast,1176,245
forth,1173,246
side,1163,247
night,1146,248
therefore,1146,249
set,1145,250
round,1138,251
young,1135,252
Miss,1130,253
called,1128,254
hear,1108,255
cried,1106,256
back,1093,257
seemed,1083,258
25,1078,259
Of,1075,260
right,1070,261
under,1070,262
tell,1059,263
love,1058,264
David,1049,265
words,1048,266
while,1046,267
26,1045,268
When,1041,269
pass,1041,270
There,1038,271
quite,1033,272
soon,1027,273
years,1018,274
