Awards,Awards Nominated,Awards Wins,Oscar Nominations,Oscar Wins,Primetime Emmys Nominations,Primetime Emmys Wins,Golden Globe Nominations,Golden Globe Wins,BAFTA Nominations,BAFTA Wins
1 win & 2 nominations.,2,1,0,0,0,0,0,0,0,0
1 win.,0,1,0,0,0,0,0,0,0,0
1 nomination.,1,0,0,0,0,0,0,0,0,0
3 wins & 2 nominations.,2,3,0,0,0,0,0,0,0,0
1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
5 nominations.,5,0,0,0,0,0,0,0,0,0
2 wins & 5 nominations.,5,2,0,0,0,0,0,0,0,0
Nominated for 1 Oscar. Another 13 wins & 13 nominations.,14,13,1,0,0,0,0,0,0,0
5 wins & 4 nominations.,4,5,0,0,0,0,0,0,0,0
Nominated for 1 Golden Globe. Another 14 wins & 34 nominations.,35,14,0,0,0,0,1,0,0,0
3 wins & 2 nominations.,2,3,0,0,0,0,0,0,0,0
1 nomination.,1,0,0,0,0,0,0,0,0,0
5 nominations.,5,0,0,0,0,0,0,0,0,0
1 win & 2 nominations.,2,1,0,0,0,0,0,0,0,0
22 wins & 44 nominations.,44,22,0,0,0,0,0,0,0,0
1 win & 3 nominations.,3,1,0,0,0,0,0,0,0,0
1 win & 8 nominations.,8,1,0,0,0,0,0,0,0,0
2 nominations.,2,0,0,0,0,0,0,0,0,0
6 wins & 1 nomination.,1,6,0,0,0,0,0,0,0,0
Won 2 Golden Globes. Another 68 wins & 201 nominations.,201,70,0,0,0,0,0,2,0,0
Won 1 Golden Globe. Another 31 wins & 143 nominations.,143,32,0,0,0,0,0,1,0,0
Nominated for 4 Primetime Emmys. Another 16 nominations.,20,0,0,0,4,0,0,0,0,0
3 wins & 2 nominations.,2,3,0,0,0,0,0,0,0,0
3 wins & 6 nominations.,6,3,0,0,0,0,0,0,0,0
2 wins.,0,2,0,0,0,0,0,0,0,0
6 wins & 4 nominations.,4,6,0,0,0,0,0,0,0,0
7 wins & 6 nominations.,6,7,0,0,0,0,0,0,0,0
9 wins & 30 nominations.,30,9,0,0,0,0,0,0,0,0
