Date,Precipitation,Max Temp,Mean Temp,Min Temp
1/1/2012,0.25,8,8,4
1/2/2012,0.25,1,6,1
1/3/2012,0,2,-4,-10
1/4/2012,0,-2,-7,-12
1/5/2012,0,0,0,-4
1/6/2012,T,9,3,-2
1/7/2012,0,6,7,-1
1/8/2012,0,3,3,-1
1/9/2012,0,4,1,-4
1/10/2012,0.51,8,4,-1
1/11/2012,0,3,1,-1
1/12/2012,23.37,6,3,1
1/13/2012,1.27,9,6,-1
1/14/2012,0,1,-3,-7
1/15/2012,0,-7,-11,-14
1/16/2012,1.52,1,-6,-12
1/17/2012,2.29,9,5,1
1/18/2012,0,1,3,-6
1/19/2012,0.25,1,-4,-8
1/20/2012,1.27,0,-3,-6
1/21/2012,4.57,-5,-7,-9
1/22/2012,0,-1,-5,-9
1/23/2012,5.08,8,3,-2
1/24/2012,0.25,3,9,6
1/25/2012,0,6,4,2
1/26/2012,4.32,5,2,-1
1/27/2012,22.61,8,6,3
1/28/2012,0,8,6,3
1/29/2012,0,6,4,1
1/30/2012,T,4,2,-1
1/31/2012,0,8,4,-1
2/1/2012,T,11,8,2
2/2/2012,T,7,3,-1
2/3/2012,0,4,0,-4
2/4/2012,0,6,2,-2
2/5/2012,0,2,-2,-6
2/6/2012,0,10,4,-2
2/7/2012,0,8,3,-1
2/8/2012,0,3,-1,-6
2/9/2012,0,8,4,-1
2/10/2012,T,10,4,-1
2/11/2012,1.78,4,2,-1
2/12/2012,0,-1,-5,-9
2/13/2012,T,5,-2,-8
2/14/2012,0,7,2,-2
2/15/2012,T,6,4,1
2/16/2012,1.02,7,4,2
2/17/2012,0.25,2,8,3
2/18/2012,0,8,5,1
2/19/2012,0,8,4,-1
2/20/2012,0,5,2,-2
2/21/2012,T,7,2,-2
2/22/2012,0,14,8,2
2/23/2012,1.27,3,9,5
2/24/2012,13.72,6,4,2
2/25/2012,T,7,4,1
2/26/2012,0,5,1,-3
2/27/2012,0,11,4,-3
2/28/2012,0,9,5,1
2/29/2012,7.37,2,1,-1
3/1/2012,14.73,3,-1,-4
3/2/2012,0,2,-2,-5
3/3/2012,9.65,8,5,1
3/4/2012,0,6,3,1
3/5/2012,0,3,0,-4
3/6/2012,0,4,-1,-7
3/7/2012,0,17,8,0
3/8/2012,0,20,15,10
3/9/2012,T,16,9,2
3/10/2012,T,4,2,-1
3/11/2012,0,14,7,-1
3/12/2012,0,22,14,6
3/13/2012,1.78,22,16,9
3/14/2012,0,14,9,4
3/15/2012,T,6,4,3
3/16/2012,1.78,8,6,3
3/17/2012,0,9,7,4
3/18/2012,0,23,14,5
3/19/2012,0,23,16,7
3/20/2012,0,19,13,7
3/21/2012,0,26,19,13
3/22/2012,0,28,21,13
3/23/2012,0,24,19,14
3/24/2012,0,15,12,8
3/25/2012,0.25,9,7,6
3/26/2012,T,10,5,0
3/27/2012,0,9,3,-3
3/28/2012,1.52,10,7,4
3/29/2012,0.25,8,6,4
3/30/2012,0,11,7,2
3/31/2012,0.76,6,4,2
4/1/2012,4.83,11,6,1
4/2/2012,1.27,12,8,4
4/3/2012,0,15,9,2
