Date,company_code,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2017-04-07,CMG,449.75,450.6731,446.76,447.34,531735.0,0.0,1.0,449.75,450.6731,446.76,447.34,531735.0
2017-04-06,CMG,452.85,455.18,448.79,450.29,485489.0,0.0,1.0,452.85,455.18,448.79,450.29,485489.0
2017-04-05,CMG,454.69,458.8275,447.07,452.44,792186.0,0.0,1.0,454.69,458.8275,447.07,452.44,792186.0
2017-04-04,CMG,455.25,459.36,448.4,449.41,968659.0,0.0,1.0,455.25,459.36,448.4,449.41,968659.0
2017-04-03,CMG,449.2,459.45,447.75,452.75,1347405.0,0.0,1.0,449.2,459.45,447.75,452.75,1347405.0
2017-03-31,CMG,447.13,453.08,444.15,445.52,912807.0,0.0,1.0,447.13,453.08,444.15,445.52,912807.0
2017-03-30,CMG,436.77,450.0,435.95,443.92,1714665.0,0.0,1.0,436.77,450.0,435.95,443.92,1714665.0
2017-03-29,CMG,426.58,439.88,426.35,434.34,1435275.0,0.0,1.0,426.58,439.88,426.35,434.34,1435275.0
2017-03-28,CMG,415.71,428.31,415.11,426.23,937082.0,0.0,1.0,415.71,428.31,415.11,426.23,937082.0
2017-03-27,CMG,409.87,415.44,409.49,414.96,581585.0,0.0,1.0,409.87,415.44,409.49,414.96,581585.0
2017-03-24,CMG,414.82,417.78,412.67,414.02,459407.0,0.0,1.0,414.82,417.78,412.67,414.02,459407.0
2017-03-23,CMG,417.0,418.669,413.38,414.88,587997.0,0.0,1.0,417.0,418.669,413.38,414.88,587997.0
2017-03-22,CMG,405.99,417.76,405.151,416.31,975180.0,0.0,1.0,405.99,417.76,405.151,416.31,975180.0
2017-03-21,CMG,403.34,408.6,400.5,407.52,1160461.0,0.0,1.0,403.34,408.6,400.5,407.52,1160461.0
2017-03-20,CMG,402.55,402.9,394.19,396.37,773731.0,0.0,1.0,402.55,402.9,394.19,396.37,773731.0
2017-03-17,CMG,400.9,403.47,400.03,402.58,555933.0,0.0,1.0,400.9,403.47,400.03,402.58,555933.0
2017-03-16,CMG,400.96,402.49,399.63,400.95,578752.0,0.0,1.0,400.96,402.49,399.63,400.95,578752.0
2017-03-15,CMG,403.11,405.39,399.04,400.96,834651.0,0.0,1.0,403.11,405.39,399.04,400.96,834651.0
2017-03-14,CMG,404.85,404.85,397.81,403.1,733285.0,0.0,1.0,404.85,404.85,397.81,403.1,733285.0
2017-03-13,CMG,408.0,409.76,403.57,405.87,642089.0,0.0,1.0,408.0,409.76,403.57,405.87,642089.0
2017-03-10,CMG,411.35,412.98,404.41,407.75,615068.0,0.0,1.0,411.35,412.98,404.41,407.75,615068.0
2017-03-09,CMG,407.08,412.68,406.25,410.48,543234.0,0.0,1.0,407.08,412.68,406.25,410.48,543234.0
2017-03-08,CMG,404.01,407.0,402.851,406.5,507884.0,0.0,1.0,404.01,407.0,402.851,406.5,507884.0
2017-03-07,CMG,410.51,412.57,402.16,404.9,933124.0,0.0,1.0,410.51,412.57,402.16,404.9,933124.0
2017-03-06,CMG,411.1,417.5663,410.01,411.68,699850.0,0.0,1.0,411.1,417.5663,410.01,411.68,699850.0
2017-03-03,CMG,415.38,417.25,412.41,416.09,538769.0,0.0,1.0,415.38,417.25,412.41,416.09,538769.0
2017-03-02,CMG,419.26,420.21,415.37,416.29,474632.0,0.0,1.0,419.26,420.21,415.37,416.29,474632.0
2017-03-01,CMG,422.51,424.0,416.25,419.15,715598.0,0.0,1.0,422.51,424.0,416.25,419.15,715598.0
2017-02-28,CMG,419.53,425.585,417.67,418.74,496656.0,0.0,1.0,419.53,425.585,417.67,418.74,496656.0
2017-02-27,CMG,421.71,424.23,419.31,421.67,545109.0,0.0,1.0,421.71,424.23,419.31,421.67,545109.0
