Date,company_code,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2017-04-07,CVX,109.38,109.58,108.665,108.86,4887413.0,0.0,1.0,109.38,109.58,108.665,108.86,4887413.0
2017-04-06,CVX,109.12,109.65,108.75,109.29,3928852.0,0.0,1.0,109.12,109.65,108.75,109.29,3928852.0
2017-04-05,CVX,109.65,110.67,108.56,108.64,6320871.0,0.0,1.0,109.65,110.67,108.56,108.64,6320871.0
2017-04-04,CVX,107.88,108.72,107.01,108.66,4679532.0,0.0,1.0,107.88,108.72,107.01,108.66,4679532.0
2017-04-03,CVX,107.22,107.97,106.38,107.8,5798989.0,0.0,1.0,107.22,107.97,106.38,107.8,5798989.0
2017-03-31,CVX,107.7,108.14,107.05,107.37,6149154.0,0.0,1.0,107.7,108.14,107.05,107.37,6149154.0
2017-03-30,CVX,108.15,108.68,107.2,107.78,6790013.0,0.0,1.0,108.15,108.68,107.2,107.78,6790013.0
2017-03-29,CVX,106.95,108.0799,106.88,108.07,4855464.0,0.0,1.0,106.95,108.0799,106.88,108.07,4855464.0
2017-03-28,CVX,106.28,107.74,106.12,107.17,6295434.0,0.0,1.0,106.28,107.74,106.12,107.17,6295434.0
2017-03-27,CVX,107.0,107.35,105.82,106.28,6437300.0,0.0,1.0,107.0,107.35,105.82,106.28,6437300.0
2017-03-24,CVX,107.93,108.42,107.7,107.99,6265653.0,0.0,1.0,107.93,108.42,107.7,107.99,6265653.0
2017-03-23,CVX,108.29,108.86,107.75,107.87,5144168.0,0.0,1.0,108.29,108.86,107.75,107.87,5144168.0
2017-03-22,CVX,107.65,108.85,107.52,108.39,8106844.0,0.0,1.0,107.65,108.85,107.52,108.39,8106844.0
2017-03-21,CVX,108.06,108.23,107.4,108.04,7406294.0,0.0,1.0,108.06,108.23,107.4,108.04,7406294.0
2017-03-20,CVX,107.27,107.85,107.02,107.66,5301890.0,0.0,1.0,107.27,107.85,107.02,107.66,5301890.0
2017-03-17,CVX,108.0,108.42,107.68,107.68,14353407.0,0.0,1.0,108.0,108.42,107.68,107.68,14353407.0
2017-03-16,CVX,108.81,108.88,107.44,107.86,8894699.0,0.0,1.0,108.81,108.88,107.44,107.86,8894699.0
2017-03-15,CVX,108.08,108.98,107.54,108.88,9472102.0,0.0,1.0,108.08,108.98,107.54,108.88,9472102.0
2017-03-14,CVX,108.47,108.5737,107.12,107.36,9935732.0,0.0,1.0,108.47,108.5737,107.12,107.36,9935732.0
2017-03-13,CVX,110.51,110.81,109.31,109.35,6369288.0,0.0,1.0,110.51,110.81,109.31,109.35,6369288.0
2017-03-10,CVX,111.4,111.4099,109.44,110.61,6560329.0,0.0,1.0,111.4,111.4099,109.44,110.61,6560329.0
2017-03-09,CVX,109.31,110.17,108.51,110.04,7247427.0,0.0,1.0,109.31,110.17,108.51,110.04,7247427.0
2017-03-08,CVX,111.68,111.92,109.4,109.61,9071579.0,0.0,1.0,111.68,111.92,109.4,109.61,9071579.0
2017-03-07,CVX,113.54,113.88,111.69,111.81,6659384.0,0.0,1.0,113.54,113.88,111.69,111.81,6659384.0
2017-03-06,CVX,113.25,113.5,112.67,113.17,4731940.0,0.0,1.0,113.25,113.5,112.67,113.17,4731940.0
2017-03-03,CVX,113.76,113.89,113.21,113.55,4909979.0,0.0,1.0,113.76,113.89,113.21,113.55,4909979.0
2017-03-02,CVX,113.67,114.27,113.31,113.36,5888885.0,0.0,1.0,113.67,114.27,113.31,113.36,5888885.0
2017-03-01,CVX,112.92,114.3932,112.88,113.88,7353829.0,0.0,1.0,112.92,114.3932,112.88,113.88,7353829.0
2017-02-28,CVX,111.66,112.76,111.49,112.5,7030208.0,0.0,1.0,111.66,112.76,111.49,112.5,7030208.0
2017-02-27,CVX,110.65,112.2697,110.37,111.75,7276325.0,0.0,1.0,110.65,112.2697,110.37,111.75,7276325.0
2017-02-24,CVX,110.9,111.02,109.47,110.12,6188919.0,0.0,1.0,110.9,111.02,109.47,110.12,6188919.0
2017-02-23,CVX,111.34,111.83,110.75,111.02,8659712.0,0.0,1.0,111.34,111.83,110.75,111.02,8659712.0
2017-02-22,CVX,111.19,111.78,110.31,110.38,5732048.0,0.0,1.0,111.19,111.78,110.31,110.38,5732048.0
2017-02-21,CVX,110.73,112.31,110.6,111.72,6618607.0,0.0,1.0,110.73,112.31,110.6,111.72,6618607.0
2017-02-17,CVX,110.42,110.57,109.27,110.33,8110738.0,0.0,1.0,110.42,110.57,109.27,110.33,8110738.0
2017-02-16,CVX,112.99,112.99,110.43,110.68,9478223.0,0.0,1.0,112.99,112.99,110.43,110.68,9478223.0
2017-02-15,CVX,112.21,113.24,112.21,112.57,7048099.0,0.0,1.0,112.21,113.24,112.21,112.57,7048099.0
2017-02-14,CVX,112.68,113.07,111.78,112.52,5811058.0,1.08,1.0,112.68,113.07,111.78,112.52,5811058.0
2017-02-13,CVX,113.36,113.99,113.05,113.91,4858511.0,0.0,1.0,112.28228169014085,112.90629225352113,111.97522887323944,112.82705281690141,4858511.0
2017-02-10,CVX,112.75,113.45,112.37,113.05,6194334.0,0.0,1.0,111.6780809859155,112.37142605633804,111.30169366197184,111.97522887323944,6194334.0
2017-02-09,CVX,111.91,112.63,111.69,112.26,4607757.0,0.0,1.0,110.84606690140845,111.55922183098592,110.62815845070423,111.19273943661973,4607757.0
2017-02-08,CVX,111.13,111.79,110.32,111.58,5188785.0,0.0,1.0,110.0734823943662,110.72720774647888,109.27118309859155,110.51920422535211,5188785.0
2017-02-07,CVX,112.98,113.1,111.11,111.39,6036670.0,0.0,1.0,111.90589436619719,112.02475352112677,110.05367253521128,110.33101056338029,6036670.0
2017-02-06,CVX,113.28,113.5,112.45,112.98,5637256.0,0.0,1.0,112.20304225352113,112.42095070422536,111.38093309859156,111.90589436619719,5637256.0
2017-02-03,CVX,112.41,114.28,112.14,113.57,6623332.0,0.0,1.0,111.34131338028169,113.19353521126762,111.07388028169015,112.4902852112676,6623332.0
2017-02-02,CVX,111.17,112.24,110.71,112.21,6289020.0,0.0,1.0,110.11310211267606,111.17292957746479,109.65747535211268,111.1432147887324,6289020.0
2017-02-01,CVX,111.2,111.78,110.8428,111.0,5888275.0,0.0,1.0,110.14281690140847,110.71730281690142,109.78901281690142,109.94471830985917,5888275.0
2017-01-31,CVX,111.89,112.2,110.76,111.35,7945005.0,0.0,1.0,110.82625704225353,111.13330985915493,109.70700000000001,110.29139084507042,7945005.0
2017-01-30,CVX,113.15,113.8,110.72,111.82,8266321.0,0.0,1.0,112.0742781690141,112.7180985915493,109.66738028169014,110.75692253521127,8266321.0
