Date,company_code,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2017-04-07,NRG,18.92,18.97,18.465,18.51,3648514.0,0.0,1.0,18.92,18.97,18.465,18.51,3648514.0
2017-04-06,NRG,18.7,18.98,18.6033,18.9,5780218.0,0.0,1.0,18.7,18.98,18.6033,18.9,5780218.0
2017-04-05,NRG,18.88,19.06,18.604,18.69,3774352.0,0.0,1.0,18.88,19.06,18.604,18.69,3774352.0
2017-04-04,NRG,18.74,19.065,18.63,18.88,4466349.0,0.0,1.0,18.74,19.065,18.63,18.88,4466349.0
2017-04-03,NRG,18.58,18.75,18.31,18.73,4482454.0,0.0,1.0,18.58,18.75,18.31,18.73,4482454.0
2017-03-31,NRG,18.38,18.945,18.29,18.7,4974697.0,0.0,1.0,18.38,18.945,18.29,18.7,4974697.0
2017-03-30,NRG,18.7,18.73,18.23,18.37,3167223.0,0.0,1.0,18.7,18.73,18.23,18.37,3167223.0
2017-03-29,NRG,18.68,18.945,18.45,18.73,7569665.0,0.0,1.0,18.68,18.945,18.45,18.73,7569665.0
2017-03-28,NRG,18.11,18.16,17.92,18.11,4208452.0,0.0,1.0,18.11,18.16,17.92,18.11,4208452.0
2017-03-27,NRG,18.12,18.19,17.97,18.18,2914490.0,0.0,1.0,18.12,18.19,17.97,18.18,2914490.0
2017-03-24,NRG,18.15,18.26,18.1,18.16,3123756.0,0.0,1.0,18.15,18.26,18.1,18.16,3123756.0
2017-03-23,NRG,18.03,18.265,18.0,18.14,3395369.0,0.0,1.0,18.03,18.265,18.0,18.14,3395369.0
2017-03-22,NRG,18.28,18.33,17.885,18.01,4260647.0,0.0,1.0,18.28,18.33,17.885,18.01,4260647.0
2017-03-21,NRG,18.32,18.51,18.165,18.24,3799590.0,0.0,1.0,18.32,18.51,18.165,18.24,3799590.0
2017-03-20,NRG,18.13,18.4,17.93,18.33,5990667.0,0.0,1.0,18.13,18.4,17.93,18.33,5990667.0
2017-03-17,NRG,18.0,18.56,18.0,18.06,11966769.0,0.0,1.0,18.0,18.56,18.0,18.06,11966769.0
2017-03-16,NRG,17.47,17.98,17.22,17.89,9434865.0,0.0,1.0,17.47,17.98,17.22,17.89,9434865.0
2017-03-15,NRG,17.14,17.61,17.08,17.46,8195683.0,0.0,1.0,17.14,17.61,17.08,17.46,8195683.0
2017-03-14,NRG,17.35,17.35,16.79,17.01,6336197.0,0.0,1.0,17.35,17.35,16.79,17.01,6336197.0
2017-03-13,NRG,17.87,18.06,17.27,17.33,8998399.0,0.0,1.0,17.87,18.06,17.27,17.33,8998399.0
2017-03-10,NRG,17.96,18.06,17.57,17.855,5330129.0,0.0,1.0,17.96,18.06,17.57,17.855,5330129.0
2017-03-09,NRG,17.09,17.87,17.04,17.855,7072764.0,0.0,1.0,17.09,17.87,17.04,17.855,7072764.0
2017-03-08,NRG,17.06,17.265,16.59,17.16,7204260.0,0.0,1.0,17.06,17.265,16.59,17.16,7204260.0
2017-03-07,NRG,17.49,17.66,16.95,17.11,4980785.0,0.0,1.0,17.49,17.66,16.95,17.11,4980785.0
2017-03-06,NRG,17.28,17.43,16.95,17.365,6080791.0,0.0,1.0,17.28,17.43,16.95,17.365,6080791.0
2017-03-03,NRG,17.03,17.31,16.89,17.29,4269107.0,0.0,1.0,17.03,17.31,16.89,17.29,4269107.0
2017-03-02,NRG,16.73,17.47,16.73,17.04,7142224.0,0.0,1.0,16.73,17.47,16.73,17.04,7142224.0
2017-03-01,NRG,16.86,17.1,16.7,16.85,14262167.0,0.0,1.0,16.86,17.1,16.7,16.85,14262167.0
2017-02-28,NRG,16.43,16.88,15.83,16.56,9653038.0,0.0,1.0,16.43,16.88,15.83,16.56,9653038.0
2017-02-27,NRG,17.41,17.71,16.66,16.77,9383733.0,0.0,1.0,17.41,17.71,16.66,16.77,9383733.0
