Date,Open,High,Low,Close,Volume,Adj Close
2017-04-14,574.50,574.50,574.50,574.50,000,574.50
2017-04-13,574.50,574.50,574.50,574.50,000,574.50
2017-04-12,574.00,578.50,572.00,574.50,612000,574.50
2017-04-11,567.00,576.50,566.00,574.00,882400,574.00
2017-04-10,567.50,570.00,565.00,570.00,474000,570.00
2017-04-07,565.00,568.00,559.00,565.50,916300,565.50
2017-04-06,564.50,576.50,563.00,574.50,748800,564.79
2017-04-05,575.00,578.50,566.00,567.50,1001800,557.91
2017-04-04,563.50,573.00,563.50,573.00,726600,563.32
2017-04-03,567.00,568.00,563.00,563.50,941100,553.98
2017-03-31,563.50,570.00,563.00,567.00,876800,557.42
2017-03-30,550.00,568.50,548.50,563.00,1468000,553.48
2017-03-29,550.00,550.00,544.50,550.00,638800,540.70
2017-03-28,549.50,553.00,545.50,548.50,575500,539.23
2017-03-27,546.00,552.00,545.50,548.00,1044500,538.74
2017-03-24,548.50,552.00,544.50,550.50,759300,541.20
2017-03-23,532.00,547.50,530.00,547.50,976200,538.25
2017-03-22,532.00,534.00,524.50,532.00,1053100,523.01
2017-03-21,541.00,548.00,532.50,536.00,1362400,526.94
2017-03-20,529.50,537.50,529.00,535.50,760500,526.45
2017-03-17,525.00,532.50,525.00,529.50,749100,520.55
2017-03-16,528.00,535.00,525.50,525.50,1070700,516.62
2017-03-15,526.00,528.00,523.50,525.50,590800,516.62
2017-03-14,524.50,526.50,521.50,525.50,624000,516.62
2017-03-13,525.00,528.50,524.50,524.50,658200,515.64
2017-03-10,519.50,525.50,518.50,525.00,693300,516.13
2017-03-09,525.50,527.50,515.00,519.50,977900,510.72
2017-03-08,524.00,528.00,523.00,528.00,565400,519.08
2017-03-07,526.00,527.00,521.50,525.50,576600,516.62
2017-03-06,522.00,527.50,521.50,525.50,764700,516.62
2017-03-03,523.00,524.00,518.50,520.50,579500,511.70
2017-03-02,529.00,532.50,523.00,525.00,671800,516.13
2017-03-01,524.00,528.50,524.00,528.00,642900,519.08
2017-02-28,518.00,520.50,509.00,520.50,1097700,511.70
2017-02-27,522.50,524.50,515.50,516.00,567500,507.28
2017-02-24,527.00,530.50,518.50,520.50,1249300,511.70
2017-02-23,526.50,533.50,526.00,530.00,1017200,521.04
2017-02-22,527.00,527.50,520.50,526.00,810300,517.11
2017-02-21,512.50,528.50,510.50,528.50,1133400,519.57
2017-02-20,518.00,519.00,511.50,513.50,519600,504.82
2017-02-17,518.00,518.00,513.50,517.00,781100,508.26
2017-02-16,518.50,521.00,513.50,519.50,769800,510.72
2017-02-15,517.50,519.50,510.50,519.00,872300,510.23
2017-02-14,507.00,517.50,505.00,515.00,1043300,506.30
2017-02-13,506.50,509.00,499.40,508.50,929400,499.91
2017-02-10,508.00,509.00,499.10,504.50,841500,495.97
2017-02-09,505.00,507.00,496.50,506.00,1010600,497.45
2017-02-08,508.00,512.00,495.30,502.00,2603000,493.52
2017-02-07,500.50,501.50,491.90,492.40,1213500,484.08
2017-02-06,508.00,509.00,498.50,500.00,997200,491.55
2017-02-03,506.00,509.50,503.00,507.00,871600,498.43
2017-02-02,497.00,506.00,492.20,503.50,835600,494.99
2017-02-01,489.80,505.00,489.10,497.00,1823300,488.60
2017-01-31,479.60,486.20,476.20,481.60,752600,473.46
2017-01-30,481.00,485.60,480.00,480.00,581800,471.89
2017-01-27,475.40,485.10,474.60,485.10,1165400,476.90
2017-01-26,470.50,475.70,468.60,473.50,777600,465.50
2017-01-25,469.20,471.00,466.00,470.50,739200,462.55
2017-01-24,466.90,471.30,459.00,465.70,1157400,457.83
2017-01-23,472.30,473.50,465.80,466.00,830700,458.12
2017-01-20,471.00,476.30,470.90,476.30,699100,468.25
2017-01-19,475.00,475.00,468.90,471.00,665200,463.04
2017-01-18,472.60,474.60,469.00,474.50,626200,466.48
2017-01-17,477.10,477.10,470.60,472.60,622300,464.61
2017-01-16,478.00,479.90,475.90,478.00,630600,469.92
2017-01-13,474.00,479.50,472.60,475.50,811200,467.46
2017-01-12,476.00,477.90,472.20,472.60,769000,464.61
2017-01-11,477.20,485.50,475.40,480.60,1252800,472.48
2017-01-10,473.00,477.90,469.90,472.00,768200,464.02
2017-01-09,473.00,478.80,470.10,471.80,1114500,463.83
2017-01-06,465.90,481.90,460.20,470.40,1812700,462.45
2017-01-05,465.30,469.20,463.20,465.90,708400,458.03
2017-01-04,471.40,475.30,464.10,464.30,1289100,456.45
2017-01-03,495.00,495.00,470.50,471.00,2004300,463.04
2017-01-02,461.90,482.60,461.00,480.10,1392600,471.99
2016-12-30,450.20,459.40,447.40,459.00,1248400,451.24
2016-12-29,445.00,449.70,442.50,449.70,1063800,442.10
2016-12-28,443.20,447.80,442.10,447.40,951100,439.84
2016-12-27,440.60,441.50,437.70,441.20,328800,433.74
2016-12-26,438.70,438.70,438.70,438.70,000,431.29
2016-12-23,442.00,443.50,436.30,438.70,1089800,431.29
2016-12-22,439.50,445.00,438.30,442.30,812900,434.82
2016-12-21,432.60,440.40,432.60,439.30,1029500,431.88
2016-12-20,427.90,434.80,426.90,434.00,867200,426.66
2016-12-19,432.50,433.10,425.50,427.50,958400,420.27
2016-12-16,436.50,436.60,426.50,432.50,1731200,425.19
2016-12-15,416.60,427.00,415.30,423.40,1779900,416.24
2016-12-14,406.30,414.50,400.70,414.10,1709700,407.10
2016-12-13,400.00,412.00,397.30,406.50,1487700,399.63
2016-12-12,397.30,403.80,392.30,399.00,1398100,392.26
2016-12-09,406.10,407.40,395.90,397.00,2110200,390.29
2016-12-08,424.50,424.50,404.40,405.40,2616100,398.55
2016-12-07,427.80,429.60,423.50,426.20,1286000,419.00
2016-12-06,433.00,433.00,424.20,425.30,1674200,418.11
2016-12-05,436.00,443.30,432.30,437.50,1137300,430.11
2016-12-02,448.00,449.00,437.50,437.50,1361900,430.11
2016-12-01,465.20,467.50,450.30,450.30,1112500,442.69
2016-11-30,467.30,468.30,461.20,463.20,1409200,455.37
2016-11-29,474.00,474.00,466.30,470.20,996600,462.25
2016-11-28,473.10,479.10,468.80,474.30,1338800,466.28
2016-11-25,464.10,470.00,458.10,469.00,1047600,461.07
2016-11-24,442.00,464.70,441.00,463.10,1669300,455.27
2016-11-23,432.90,443.40,428.90,440.20,1400900,432.76
2016-11-22,443.40,443.90,431.00,431.90,973400,424.60
2016-11-21,441.80,447.10,436.50,441.60,864700,434.14
2016-11-18,445.40,446.20,440.00,440.30,939600,432.86
2016-11-17,440.00,446.60,439.00,443.10,1077500,435.61
2016-11-16,445.60,445.60,435.70,439.50,1151300,432.07
2016-11-15,435.70,442.50,435.00,440.40,1194300,432.96
2016-11-14,436.40,439.00,432.70,433.50,1422500,426.17
2016-11-11,423.50,437.00,419.40,432.50,2138300,425.19
2016-11-10,446.00,446.40,424.50,426.10,2133900,418.90
2016-11-09,410.00,448.60,406.00,431.00,4904700,423.72
2016-11-08,540.00,540.00,470.00,471.10,6723800,463.14
2016-11-07,520.00,522.00,512.00,518.50,1472200,509.74
2016-11-04,499.60,502.00,495.20,497.80,1078300,489.39
2016-11-03,504.00,508.50,499.30,499.60,1052000,491.16
2016-11-02,520.00,523.00,505.50,505.50,1429600,496.96
2016-11-01,548.00,549.00,527.00,527.00,851400,518.09
2016-10-31,536.50,544.00,536.50,543.50,523100,534.31
2016-10-28,540.00,542.00,535.50,540.50,488600,531.36
2016-10-27,539.50,543.00,534.50,540.50,475500,531.36
2016-10-26,542.00,544.50,536.00,539.50,434400,530.38
2016-10-25,548.50,556.50,542.00,542.00,500200,532.84
2016-10-24,547.50,551.00,547.00,549.00,414500,539.72
2016-10-21,543.00,548.00,540.50,545.00,373300,535.79
2016-10-20,545.50,547.50,539.00,544.00,576900,534.81
2016-10-19,539.00,543.50,536.00,543.50,512500,534.31
2016-10-18,536.00,541.00,534.50,538.50,547700,529.40
2016-10-17,530.00,534.50,528.50,534.00,351800,524.97
2016-10-14,520.00,533.00,520.00,532.50,640800,523.50
2016-10-13,524.50,525.00,515.50,519.50,715700,510.72
